"id","UDALERRIA_KODEA/COD_MUNICIPIO","UDALERRIA/MUNICIPIO","EKITALDIA/EJERCICIO","EDUKIONTZI_KODEA/COD_CONTENEDOR","EDUKIONTZIAREN MODELOA_CAS/MODELO CONTENEDOR_CAS","HONDAKINAREN FRAKZIOA_CAS/FRACCION DEL RESIDUO_CAS","longitude","latitude","horaMin","horaMax"
779,15,"BASAURI",2020,14,"CARGA VERTICAL","ENVASES LIGEROS","509451,6","4786966,5",0,23
780,15,"BASAURI",2020,15,"CARGA VERTICAL","ENVASES LIGEROS","508525,4","4787322,59",0,23
781,15,"BASAURI",2020,16,"CARGA VERTICAL","ENVASES LIGEROS","509375,66","4787072,3",0,23
782,15,"BASAURI",2020,17,"CARGA VERTICAL","ENVASES LIGEROS","509231,44","4787109,43",0,23
783,15,"BASAURI",2020,18,"CARGA VERTICAL","ENVASES LIGEROS","509097,44","4787064,44",0,23
784,15,"BASAURI",2020,19,"CARGA VERTICAL","ENVASES LIGEROS","509143,59","4787167,36",0,23
785,15,"BASAURI",2020,20,"CARGA VERTICAL","ENVASES LIGEROS","509636,45","4787396,45",0,23
786,15,"BASAURI",2020,21,"CARGA VERTICAL","ENVASES LIGEROS","508917,15","4787033,49",0,23
787,15,"BASAURI",2020,23,"CARGA VERTICAL","ENVASES LIGEROS","508624,24","4787178,41",0,23
788,15,"BASAURI",2020,24,"CARGA VERTICAL","ENVASES LIGEROS","508718,22","4787096,17",0,23
789,15,"BASAURI",2020,25,"CARGA VERTICAL","ENVASES LIGEROS","508604,65","4787088,43",0,23
790,15,"BASAURI",2020,26,"CARGA VERTICAL","ENVASES LIGEROS","508541,69","4787188,93",0,23
791,15,"BASAURI",2020,27,"CARGA VERTICAL","ENVASES LIGEROS","508366,61","4787167,56",0,23
792,15,"BASAURI",2020,28,"CARGA VERTICAL","ENVASES LIGEROS","508247,13","4787185,63",0,23
793,15,"BASAURI",2020,29,"CARGA VERTICAL","ENVASES LIGEROS","508342,88","4787336,47",0,23
794,15,"BASAURI",2020,30,"CARGA VERTICAL","ENVASES LIGEROS","509769,26","4787049,42",0,23
795,15,"BASAURI",2020,31,"CARGA VERTICAL","ENVASES LIGEROS","508376,84","4787348,34",0,23
796,15,"BASAURI",2020,32,"CARGA VERTICAL","ENVASES LIGEROS","508441,12","4787411,99",0,23
797,15,"BASAURI",2020,33,"CARGA VERTICAL","ENVASES LIGEROS","509135,63","4787413,77",0,23
798,15,"BASAURI",2020,34,"CARGA VERTICAL","ENVASES LIGEROS","508552,18","4787412,79",0,23
799,15,"BASAURI",2020,35,"CARGA VERTICAL","ENVASES LIGEROS","508749,65","4787291,3",0,23
800,15,"BASAURI",2020,36,"CARGA VERTICAL","ENVASES LIGEROS","509276,13","4787234,7",0,23
801,15,"BASAURI",2020,37,"CARGA VERTICAL","ENVASES LIGEROS","509388,67","4787198,4",0,23
802,15,"BASAURI",2020,38,"CARGA VERTICAL","ENVASES LIGEROS","509473,27","4787516,22",0,23
803,15,"BASAURI",2020,39,"CARGA VERTICAL","ENVASES LIGEROS","509365,4","4787252,95",0,23
